"Achievement Level","Students in 3rd Grade","Students in 4th Grade","Students in 5th Grade","Students in 6th Grade","Students in 7th Grade","Students in 8th Grade","Students in 9th Grade","Students in 10th Grade"
"Exceeding",8,4,45,0,8,19,21,13
"Ready",32,120,152,202,55,106,320,238
"Close",254,308,298,198,238,361,207,175
"Need Support",332,252,210,150,167,261,262,235
"Students Tested",626,684,705,550,568,747,810,661
"Total Enrollment",724,714,732,695,713,776,956,884
"Participation Rate",86.00%,96.00%,96.00%,79.00%,80.00%,96.00%,85.00%,75.00%
