"Achievement Level","Students in 3rd Grade","Students in 4th Grade","Students in 5th Grade","Students in 6th Grade","Students in 7th Grade","Students in 8th Grade","Students in 9th Grade","Students in 10th Grade"
"Exceeding","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)","0 (0%)","0 (0%)"
"Ready","0 (0%)","0 (0%)","0 (0%)","2 (5%)","1 (2%)","0 (0%)","0 (0%)","1 (2%)"
"Close","1 (2%)","6 (11%)","3 (7%)","2 (5%)","3 (8%)","6 (10%)","4 (6%)","1 (2%)"
"Need Support","60 (98%)","47 (89%)","39 (93%)","38 (90%)","42 (88%)","55 (90%)","65 (94%)","47 (96%)"
"Students Tested",61,53,42,42,47,61,69,49
"Total Enrollment",65,57,42,44,50,63,88,72
"Participation Rate",94.00%,97.00%,100.00%,95.00%,94.00%,97.00%,78.00%,68.00%
