"Grade",2015,2016,2017
"Grade 3",17.00%,15.00%,18.00%
"Grade 4",23.00%,22.00%,27.00%
"Grade 5",20.00%,17.00%,15.00%
"Grade 6",21.00%,25.00%,27.00%
"Grade 7",20.00%,21.00%,24.00%
"Grade 8",28.00%,23.00%,26.00%
"Grade 9",18.00%,14.00%,16.00%
"Grade 10",15.00%,14.00%,12.00%
