"Achievement Level","Students in 3rd Grade","Students in 4th Grade","Students in 5th Grade","Students in 6th Grade","Students in 7th Grade","Students in 8th Grade","Students in 9th Grade","Students in 10th Grade"
"Exceeding",37,47,31,72,23,49,41,17
"Ready",89,142,78,104,143,148,91,67
"Close",147,204,194,130,215,16,171,128
"Need Support",433,315,409,360,308,341,525,487
"Students Tested",706,708,712,666,689,754,828,699
"Total Enrollment",724,714,732,695,713,776,956,884
"Participation Rate",98.00%,99.00%,97.00%,96.00%,97.00%,97.00%,87.00%,79.00%
