"Grade",2015,2016,2017
"Grade 3",60.00%,54.00%,57.00%
"Grade 4",60.00%,59.00%,56.00%
"Grade 5",64.00%,63.00%,63.00%
"Grade 6",59.00%,68.00%,66.00%
"Grade 7",66.00%,72.00%,72.00%
"Grade 8",57.00%,62.00%,65.00%
"Grade 9",35.00%,40.00%,42.00%
"Grade 10",33.00%,43.00%,54.00%
