"Achievement Level","Students in 3rd Grade","Students in 4th Grade","Students in 5th Grade","Students in 6th Grade","Students in 7th Grade","Students in 8th Grade","Students in 9th Grade","Students in 10th Grade"
"Exceeding",44,37,45,58,69,48,22,11
"Ready",68,106,101,127,107,114,46,47
"Close",98,166,190,138,137,160,128,82
"Need Support",493,400,376,344,381,433,555,484
"Students Tested",703,709,712,667,694,755,751,624
"Total Enrollment",724,714,732,695,713,776,956,884
"Participation Rate",97.00%,99.00%,97.00%,96.00%,97.00%,97.00%,79.00%,71.00%
