"Grade",2015,2016,2017
"Grade 3",19.00%,16.00%,16.00%
"Grade 4",19.00%,18.00%,20.00%
"Grade 5",29.00%,25.00%,20.00%
"Grade 6",30.00%,27.00%,28.00%
"Grade 7",20.00%,23.00%,25.00%
"Grade 8",19.00%,20.00%,21.00%
"Grade 9",11.00%,9.00%,9.00%
"Grade 10",7.00%,8.00%,9.00%
