"Grade",2015,2016,2017
"Grade 3",31.00%,27.00%,28.00%
"Grade 4",27.00%,25.00%,23.00%
"Grade 5",26.00%,26.00%,27.00%
"Grade 6",26.00%,32.00%,28.00%
"Grade 7",21.00%,23.00%,23.00%
"Grade 8",12.00%,13.00%,20.00%
"Grade 9",9.00%,9.00%,9.00%
"Grade 10",6.00%,6.00%,7.00%
