"Achievement Level","Students in 3rd Grade","Students in 4th Grade","Students in 5th Grade","Students in 6th Grade","Students in 7th Grade","Students in 8th Grade","Students in 9th Grade","Students in 10th Grade"
"Exceeding",32,14,27,31,45,56,25,10
"Ready",159,149,163,159,120,87,0,39
"Close",298,392,379,330,228,211,119,90
"Need Support",217,152,142,151,300,356,631,556
"Students Tested",706,707,711,668,693,710,825,695
"Total Enrollment",724,714,732,695,713,776,956,884
"Participation Rate",98.00%,99.00%,97.00%,96.00%,97.00%,91.00%,86.00%,63.00%
